Restaurant ID;Restaurant Name;Menu URL;Rating;Address;Latitude;Longitude
JE57516;Taberna del Volapié Castellana 210;https://www.just-eat.es/restaurants-taberna-volapie-castellana-210-madrid/menu;80.0;Paseo de la Castellana, 210, 28046, Madrid;40.463264;-3.688955
JE57531;El Meson De La Piovera;https://www.just-eat.es/restaurants-el-meson-de-la-piovera-madrid/menu;;Calle del Sándalo, 5, 28042, Madrid;40.452477;-3.616055
JE57554;Nugu Rolls;https://www.just-eat.es/restaurants-nugu-rolls-madrid-norte-madrid/menu;60.0;Calle Sorgo, 53, 28029, Madrid;40.468243;-3.706131
JE57556;Nugu Rolls;https://www.just-eat.es/restaurants-nugu-rolls-madrid/menu;60.0;Calle de Covarrubias, 38, 28010, Madrid;40.431313;-3.697965
JE57560;Day Market;https://www.just-eat.es/restaurants-day-market-madrid/menu;60.0;Calle de Raimundo Fernández Villaverde, 1, 28003, Madrid;40.447002;-3.703158
JE57564;Los Mandilones;https://www.just-eat.es/restaurants-los-mandilones-madrid/menu;80.0;Calle Lonja de la Seda, 25, 28054, Madrid;40.3658;-3.759143
JE57568;Tacos al Paso;https://www.just-eat.es/restaurants-tacos-al-paso-madrid-28010/menu;;Paseo del General Martínez Campos, 1, 28010, Madrid;40.435112;-3.698282
JE57592;Papizza Carretas 3;https://www.just-eat.es/restaurants-papizza-carretas-3-madrid/menu;40.0;Calle de Carretas, 3, 28012, Madrid;40.416515;-3.703188
JE57677;Portacos Bar;https://www.just-eat.es/restaurants-portacos-bar-madrid/menu;80.0;Calle de Josefa Díaz, 4, 28038, Madrid;40.393246;-3.65765
JE57727;Cafe Dilu Brunch;https://www.just-eat.es/restaurants-cafe-dilu-brunch-madrid/menu;;Calle de Gaztambide, 21, 28015, Madrid;40.432686;-3.715844
JE57746;Bombay Palace;https://www.just-eat.es/restaurants-bombay-palace-madrid-28012/menu;;Calle del Ave María, 26, 28012, Madrid;40.41074;-3.700977
JE57754;Papizza Gran Vía 46;https://www.just-eat.es/restaurants-papizza-gran-via-46-madrid/menu;60.0;Calle Gran Vía, 46, 28013, Madrid;40.420593;-3.705928
JE57756;Ginos Rivas Futura;https://www.just-eat.es/restaurants-ginos-rivas-futura-rivas-vaciamadrid/menu;40.0;Calle Marie Curie, 4, 28521, Rivas-Vaciamadrid;40.337234;-3.525936
JE57758;Manolo Bakes Moratalaz;https://www.just-eat.es/restaurants-manolo-bakes-moratalaz-madrid/menu;80.0;Calle Manuel Machado, 3, 28030, Madrid;40.41178;-3.660069
JE57770;La Tradicional 1944;https://www.just-eat.es/restaurants-la-tradicional-1944-rivas-vaciamadrid/menu;60.0;Avenida los Almendros, 292, 28522, Rivas-Vaciamadrid;40.377693;-3.532321
JE57783;Pizzeria Davinci;https://www.just-eat.es/restaurants-pizzeria-davinci-rivas-vaciamadrid/menu;80.0;Avenida los Almendros, 294, 28522, Rivas-Vaciamadrid;40.377594;-3.532533
JE57787;Il Piccolo Padrino;https://www.just-eat.es/restaurants-il-piccolo-padrino-28703/menu;80.0;Calle Formentera, 11, 28703, San Sebastián de los Reyes;40.5551;-3.624333
JE57795;Burritos & Poke Vallecas;https://www.just-eat.es/restaurants-burritos-and-poke-vallecas-madrid/menu;80.0;Avenida de la Albufera, 153, 28038, Madrid;40.39255;-3.655788
JE57810;Heladería Mamá Elba;https://www.just-eat.es/restaurants-mama-elba-madrid-28005/menu;100.0;Calle de la Ruda, 15, 28005, Madrid;40.41047;-3.708271
JE57828;Balans;https://www.just-eat.es/restaurants-balans-madrid/menu;60.0;Calle de Meléndez Valdés, 52, 28015, Madrid;40.43316;-3.71492
JE57868;Mayur;https://www.just-eat.es/restaurants-mayur-madrid/menu;60.0;Avenida de Europa, 27, 28023, Pozuelo de Alarcón;40.445084;-3.787129
JE57881;La Huella Vegana De Rivas;https://www.just-eat.es/restaurants-la-huella-vegana-de-rivas-28523/menu;80.0;Calle las Trece Rosas, 2, 28523, Rivas-Vaciamadrid;40.376358;-3.540395
JE57923;Urban Poke Rivas;https://www.just-eat.es/restaurants-urban-poke-rivas-rivas-vaciamadrid/menu;80.0;Avenida de Levante, 240, 28521, Rivas-Vaciamadrid;40.341763;-3.520377
JE57926;Humita The Real Empanada;https://www.just-eat.es/restaurants-humita-madrid/menu;100.0;Calle de Génova, 18, 28004, Madrid;40.426525;-3.693782
JE57951;Taberna del Volapié Peineta;https://www.just-eat.es/restaurants-taberna-volapie-peineta-madrid/menu;40.0;Avenida de Niza, 40, 28022, Madrid;40.4338;-3.6072
JE57952;Empanadas Malvón Barrio El Pilar;https://www.just-eat.es/restaurants-empanadas-malvon-barrio-el-pilar-madrid/menu;80.0;Avenida de Monforte de Lemos, 101, 28029, Madrid;40.479076;-3.704503
JE57954;Empanadas Malvón Montecarmelo;https://www.just-eat.es/restaurants-empanadas-malvon-montecarmelo-madrid/menu;60.0;Avenida de Montecarmelo, 43, 28034, Madrid;40.504257;-3.698995
JE58033;D'Agustto Pizza;https://www.just-eat.es/restaurants-la-artesana-madrid/menu;60.0;Calle San Leopoldo, 8, 28029, Madrid;40.469357;-3.69018
JE58047;Pizza Pizza;https://www.just-eat.es/restaurants-pizza-pizza-madrid-28002/menu;80.0;Calle Luis Vives, 16, 28002, Madrid;40.444557;-3.675498
JE58093;La Tomasa De Jorge Juan;https://www.just-eat.es/restaurants-la-tomasa-de-jorge-juan-madrid/menu;;Calle de Jorge Juan, 91, 28009, Madrid;40.423367;-3.673946
JE58094;Tartaytantas;https://www.just-eat.es/restaurants-tartaytantas-madrid/menu;;Calle Seis de Diciembre, 28023, Madrid;40.44982;-3.773193
JE58096;Bar de las Cañas;https://www.just-eat.es/restaurants-bar-de-las-canas-madrid/menu;80.0;Calle del General Ricardos, 79, 28019, Madrid;40.393806;-3.722633
JE58118;Heladeria Sienna Narvaez;https://www.just-eat.es/restaurants-heladeria-sienna-narvaez-madrid/menu;80.0;Calle de Narváez, 62, 28009, Madrid;40.418674;-3.676565
JE58131;Ramen Kagura Cuatro Caminos;https://www.just-eat.es/restaurants-kagura-cuatro-caminos-madrid/menu;80.0;Calle de Raimundo Fernández Villaverde, 3, 28003, Madrid;40.447018;-3.70298
JE58152;Mas Pizza;https://www.just-eat.es/restaurants-mas-pizza-madrid/menu;60.0;Calle de Oliva de Plasencia, 1, 28044, Madrid;40.3785;-3.779563
JE58186;Burger King Calle Ocaña;https://www.just-eat.es/restaurants-burger-king-calle-ocana-madrid/menu;80.0;Calle de Ocaña, 112, 28047, Madrid;40.38735;-3.752019
JE58208;Villaverde Pizzería & Kebab;https://www.just-eat.es/restaurants-villa-verde-pizzeria-and-kebab-madrid/menu;;Calle de la Plata, 15, 28021, Madrid;40.34852;-3.706401
JE58209;Sushi Vibez;https://www.just-eat.es/restaurants-sushi-vibez-madrid/menu;80.0;Calle Martín Machío, 15, 28002, Madrid;40.447716;-3.663175
JE58220;The Hot Dogs;https://www.just-eat.es/restaurants-the-hot-dogs-madrid/menu;60.0;Calle Laponia, 1, 28030, Madrid;40.406162;-3.627523
JE58234;Da Luca;https://www.just-eat.es/restaurants-6348273-alcobendas/menu;80.0;Avenida Olímpica, 26, 28108, Alcobendas;40.535744;-3.636642
JE58307;Los Nicas Bar y Restaurante;https://www.just-eat.es/restaurants-los-nicas-bar-y-restaurante-madrid/menu;80.0;Calle de Ferroviarios, 20, 28026, Madrid;40.386288;-3.705315
JE58358;UNO Sushi;https://www.just-eat.es/restaurants-uno-sushi-madrid/menu;;Avenida del Monasterio de El Escorial, 66, 28034, Madrid;40.507645;-3.694893
JE58380;Yankee Ribs Numancia;https://www.just-eat.es/restaurants-yankee-ribs-numancia-madrid/menu;;Avenida del Doctor Federico Rubio y Galí, 78, 28040, Madrid;40.453007;-3.712874
JE58381;Yankee Ribs Hortaleza;https://www.just-eat.es/restaurants-yankee-ribs-hortaleza-madrid/menu;60.0;Calle de Hortaleza, 34, 28004, Madrid;40.421783;-3.699932
JE58388;Yankee Ribs Orense;https://www.just-eat.es/restaurants-yankee-ribs-orense-madrid/menu;100.0;Calle de Orense, 34, 28020, Madrid;40.454502;-3.69446
JE58391;Yankee Ribs Silvano;https://www.just-eat.es/restaurants-yankee-ribs-silvano-madrid/menu;60.0;Calle de Silvano, 92, 28043, Madrid;40.46248;-3.637821
JE58395;Yankee Ribs Gran Vía;https://www.just-eat.es/restaurants-yankee-ribs-gran-viamadrid/menu;40.0;Calle Gran Vía, 68, 28013, Madrid;40.422638;-3.709292
